,State,City,Population,Violent crime,Property crime,Violent Crime per pop,"Violent crime rate per 100,000 inhabitants",Property crime per pop,"Property crime per 100,000 inhabitants",Assault Risk (County),Total Crime Risk (County),Student Teacher Ratio,Percent of High School Graduate or Higher,year
0,Pennsylvania,Erie,"98,887",176,959,0,177.98,0.01,969.79,79.0,83.0,14.0,86.4,2017
1,Washington,Renton,"100,015",148,"2,921",0,147.98,0.03,2920.56,59.0,127.0,21.0,91.2,2017
2,Indiana,South Bend,101240,465,2201,0,459.3,0.02,2174.04,41.0,119.0,17.0,83.4,2017
3,New Mexico,Las Cruces,102227,126,2351,0,123.26,0.02,2299.78,98.0,89.0,16.0,86.8,2017
4,Texas,Tyler,"102,481",206,"2,002",0,201.01,0.02,1953.53,109.0,122.0,15.0,83.5,2017
5,Florida,Lakeland,103498,168,2585,0,162.32,0.02,2497.63,142.0,130.0,11.5,88.4,2017
6,California,Rialto,103590,254,946,0,245.2,0.01,913.22,98.0,95.0,13.0,68.9,2017
7,California,Clovis,103769,131,1506,0,126.24,0.01,1451.3,136.0,126.0,12.25,90.0,2017
8,Georgia,Sandy Springs,103898,51,1296,0,49.09,0.01,1247.38,308.0,295.0,16.0,94.2,2017
9,California,El Cajon,103942,202,1273,0,194.34,0.01,1224.72,90.0,79.0,15.0,82.2,2017
10,California,San Mateo,104306,109,1019,0,104.5,0.01,976.93,49.0,45.0,17.0,89.3,2017
11,California,Santa Maria,104355,270,1371,0,258.73,0.01,1313.78,64.0,52.0,18.0,59.3,2017
12,Wisconsin,Green Bay,"105,119",244,954,0,232.12,0.01,907.54,46.0,56.0,16.0,87.1,2017
13,Texas,Wichita Falls,"105,186",245,"1,775",0,232.92,0.02,1687.49,132.0,128.0,15.0,85.3,2017
14,Texas,College Station,"105,855",118,"1,081",0,111.47,0.01,1021.21,90.0,108.0,10.666666666666666,93.9,2017
15,California,Burbank,105865,104,1358,0,98.24,0.01,1282.77,125.85714285714286,95.0,16.0,81.3,2017
16,California,Burbank,105865,104,1358,0,98.24,0.01,1282.77,125.85714285714286,95.0,16.0,89.9,2017
17,Oklahoma,Broken Arrow,"106,145",73,"1,016",0,68.77,0.01,957.18,222.0,166.0,18.0,93.7,2017
18,Texas,Pearland,"106,850",92,961,0,86.1,0.01,899.39,59.0,58.0,16.5,95.1,2017
19,California,Daly City,107320,131,783,0,122.06,0.01,729.59,49.0,45.0,19.333333333333332,85.6,2017
20,California,Norwalk,107470,203,942,0,188.89,0.01,876.52,161.0,125.0,21.0,73.7,2017
21,Colorado,Pueblo,108810,536,3439,0,492.6,0.03,3160.56,238.0,130.0,20.0,86.1,2017
22,California,West Covina,109030,146,1442,0,133.91,0.01,1322.57,161.0,125.0,14.0,84.7,2017
23,Connecticut,Waterbury,109044,267,2052,0,244.86,0.02,1881.81,51.0,73.0,10.0,79.1,2017
24,South Carolina,North Charleston,"109,051",435,"2,961",0,398.9,0.03,2715.24,165.0,122.0,15.5,83.5,2017
25,California,Murrieta,109495,53,812,0,48.4,0.01,741.59,123.0,86.0,17.0,91.7,2017
26,North Carolina,High Point,109669,318,1896,0,289.96,0.02,1728.84,113.0,140.0,13.0,84.7,2017
27,California,Richmond,109716,474,1805,0,432.02,0.02,1645.16,72.0,68.0,19.0,76.9,2017
28,Montana,Billings,109997,270,2537,0,245.46,0.02,2306.43,48.0,109.0,17.0,92.9,2017
29,California,Antioch,110537,396,1756,0,358.25,0.02,1588.61,72.0,68.0,19.5,86.4,2017
30,New Hampshire,Manchester,110661,364,1565,0,328.93,0.01,1414.23,16.0,49.0,13.5,87.4,2017
31,Massachusetts,Lowell,110819,220,969,0,198.52,0.01,874.4,35.0,27.0,12.0,79.8,2017
32,Texas,Richardson,"111,008",91,"1,201",0,81.98,0.01,1081.9,154.0,181.0,21.0,92.6,2017
33,Illinois,Elgin,111832,124,651,0,110.88,0.01,582.12,29.0,30.0,11.0,78.7,2017
34,California,Inglewood,112450,402,1219,0,357.49,0.01,1084.04,161.0,125.0,21.0,74.4,2017
35,Minnesota,Rochester,112542,127,1186,0,112.85,0.01,1053.83,32.44444444444444,58.0,12.38888888888889,94.0,2017
36,California,Fairfield,112582,275,1389,0,244.27,0.01,1233.77,111.0,86.0,20.0,85.5,2017
37,Florida,Miami Gardens,113469,376,1820,0,331.37,0.02,1603.96,193.0,165.0,17.0,79.9,2017
38,California,Costa Mesa,113477,199,2466,0,175.37,0.02,2173.13,49.0,55.0,21.333333333333332,84.3,2017
39,California,Carlsbad,113972,89,1137,0,78.09,0.01,997.61,90.0,79.0,21.0,95.7,2017
40,Michigan,Lansing,114694,525,1248,0,457.74,0.01,1088.11,156.0,112.0,16.666666666666668,88.8,2017
41,California,Downey,114754,189,1601,0,164.7,0.01,1395.16,161.0,125.0,23.5,77.5,2017
42,Utah,Provo,"115,294",82,"1,449",0,71.12,0.01,1256.79,26.0,64.0,21.0,92.4,2017
43,Colorado,Arvada,115379,103,1445,0,89.27,0.01,1252.39,43.0,63.0,24.0,94.3,2017
44,North Carolina,Wilmington,115434,409,2348,0,354.32,0.02,2034.06,84.0,126.0,16.0,91.3,2017
45,Texas,Round Rock,"115,955",85,"1,363",0,73.3,0.01,1175.46,36.0,40.0,11.333333333333334,92.1,2017
46,Illinois,Peoria,116066,378,1992,0,325.68,0.02,1716.26,113.15384615384616,112.23076923076923,14.846153846153847,88.2,2017
47,California,El Monte,117376,226,1191,0,192.54,0.01,1014.69,161.0,125.0,24.0,57.4,2017
48,Texas,Beaumont,"117,635",649,"2,466",0.01,551.71,0.02,2096.31,143.0,174.0,13.4,85.6,2017
49,Missouri,Independence,117639,304,2989,0,258.42,0.03,2540.82,219.0,207.0,16.5,88.6,2017
50,North Dakota,Fargo,118490,215,1737,0,181.45,0.01,1465.95,22.0,74.0,11.0,93.8,2017
51,Texas,Odessa,"118,606",490,"2,250",0,413.13,0.02,1897.04,162.0,119.0,15.5,78.0,2017
52,Michigan,Ann Arbor,118730,106,926,0,89.28,0.01,779.92,124.0,96.0,19.0,96.8,2017
53,Missouri,Columbia,118911,244,1546,0,205.2,0.01,1300.13,142.66666666666666,113.0,14.777777777777779,94.2,2017
54,Pennsylvania,Allentown,"119,335",257,"1,547",0,215.36,0.01,1296.35,65.0,78.0,13.5,78.3,2017
55,California,Berkeley,120387,262,2637,0,217.63,0.02,2190.44,85.0,93.0,16.0,96.2,2017
56,Indiana,Evansville,120414,359,2898,0,298.14,0.02,2406.7,87.0,99.0,13.0,86.9,2017
57,California,Vallejo,121257,517,2419,0,426.37,0.02,1994.94,111.0,86.0,23.0,87.7,2017
58,Texas,Abilene,"121,764",279,"2,242",0,229.13,0.02,1841.27,105.0,101.0,14.0,85.0,2017
59,California,Victorville,123332,314,1833,0,254.6,0.01,1486.23,98.0,95.0,26.0,79.4,2017
60,California,Santa Clara,123562,88,1297,0,71.22,0.01,1049.68,79.0,55.0,20.5,92.0,2017
61,Tennessee,Murfreesboro,"123,994",359,"1,830",0,289.53,0.01,1475.88,54.0,37.0,11.0,92.5,2017
62,Connecticut,Hartford,124553,613,2390,0,492.16,0.02,1918.86,47.0,62.0,11.0,72.7,2017
63,Kansas,Topeka,127096,304,3302,0,239.19,0.03,2598.04,193.0,200.0,13.5,89.7,2017
64,Washington,Kent,"127,259",162,"3,669",0,127.3,0.03,2883.1,59.0,127.0,22.0,85.4,2017
65,Louisiana,Lafayette,127273,333,3156,0,261.64,0.02,2479.71,119.0,96.0,10.0,86.7,2017
66,California,Simi Valley,127472,88,780,0,69.03,0.01,611.9,55.0,49.0,16.0,90.8,2017
67,California,Concord,128767,221,2116,0,171.63,0.02,1643.28,72.0,68.0,17.0,87.4,2017
68,New Jersey,Elizabeth,129364,511,1976,0,395.01,0.02,1527.47,42.0,73.0,12.4,73.3,2017
69,Florida,Coral Springs,129631,110,1205,0,84.86,0.01,929.56,103.0,112.0,18.0,92.4,2017
70,California,Thousand Oaks,129976,83,761,0,63.86,0.01,585.49,55.0,49.0,20.5,93.5,2017
71,Connecticut,New Haven,130403,594,2299,0,455.51,0.02,1763,51.0,73.0,11.5,84.6,2017
72,California,Visalia,130405,264,1969,0,202.45,0.02,1509.91,113.0,81.0,19.0,81.7,2017
73,Texas,Carrollton,"130,676",116,"1,358",0,88.77,0.01,1039.21,154.0,181.0,15.5,85.9,2017
74,Texas,Denton,"131,194",158,"1,424",0,120.43,0.01,1085.42,59.0,63.0,6.5,89.1,2017
75,Texas,Waco,"131,413",346,"2,351",0,263.29,0.02,1789.02,132.0,143.0,11.5,80.4,2017
76,South Carolina,Columbia,"132,495",373,"3,411",0,281.52,0.03,2574.44,142.66666666666666,113.0,14.777777777777779,88.2,2017
77,South Carolina,Charleston,"132,585",200,"1,524",0,150.85,0.01,1149.45,165.0,122.0,11.5,94.3,2017
78,Texas,Midland,"132,625",247,"1,785",0,186.24,0.01,1345.9,70.0,91.0,17.0,84.1,2017
79,Michigan,Warren,135367,351,1647,0,259.3,0.01,1216.69,75.0,55.0,23.5,85.7,2017
80,Virginia,Hampton,"136,381",174,"2,012",0,127.58,0.01,1475.28,57.0,102.0,18.0,90.7,2017
81,Texas,Killeen,"140,497",445,"1,797",0,316.73,0.01,1279.03,78.0,92.0,14.0,91.4,2017
82,California,Orange,140572,104,1282,0,73.98,0.01,911.99,49.0,55.0,20.0,84.3,2017
83,Texas,McAllen,"140,593",96,"2,227",0,68.28,0.02,1584,87.0,91.0,16.0,73.9,2017
84,Ohio,Dayton,140683,573,3354,0,407.3,0.02,2384.08,42.0,147.0,17.0,83.0,2017
85,California,Pasadena,141815,241,1722,0,169.94,0.01,1214.26,160.6,135.2,19.866666666666667,87.6,2017
86,New York,Syracuse,144027,502,2209,0,348.55,0.02,1533.74,42.0,43.0,14.0,81.5,2017
87,Texas,Mesquite,"145,569",287,"2,756",0,197.16,0.02,1893.26,117.5,118.0,15.5,80.2,2017
88,Texas,Mesquite,"145,569",287,"2,756",0,197.16,0.02,1893.26,117.5,118.0,15.5,11.4,2017
89,New Jersey,Paterson,146588,547,1498,0,373.15,0.01,1021.91,57.0,65.0,9.5,72.6,2017
90,Illinois,Joliet,147991,260,1378,0,175.69,0.01,931.14,56.0,57.0,18.0,84.2,2017
91,Illinois,Rockford,148178,1238,2684,0.01,835.48,0.02,1811.34,66.0,81.0,14.0,83.1,2017
92,Connecticut,Bridgeport,148313,472,,0,318.25,#VALUE!,,40.0,59.0,16.0,75.6,2017
93,California,Torrance,149243,116,1568,0,77.73,0.01,1050.64,161.0,125.0,14.5,93.6,2017
94,Tennessee,Clarksville,"150,319",481,"1,799",0,319.99,0.01,1196.79,153.0,108.0,15.0,92.1,2017
95,Colorado,Lakewood,151311,437,4124,0,288.81,0.03,2725.51,43.0,63.0,10.5,92.0,2017
