State,City,Population,"Violent
crime","Property
crime",Violent Crime per pop,"Violent crime rate per 100,000 inhabitants",Property crime per pop,"Property crime per 100,000 inhabitants"
Pennsylvania,Erie,"98,887",176,959,0,177.98,0.01,969.79
Washington,Renton,"100,015",148,"2,921",0,147.98,0.03,2920.56
Wisconsin,Kenosha,"100,038",141,"1,042",0,140.95,0.01,1041.6
Florida,Davie,100612,97,1431,0,96.41,0.01,1422.3
New Jersey,Woodbridge Township,100950,51,802,0,50.52,0.01,794.45
Indiana,South Bend,101240,465,2201,0,459.3,0.02,2174.04
New Mexico,Las Cruces,102227,126,2351,0,123.26,0.02,2299.78
New Jersey,Edison Township,102281,49,528,0,47.91,0.01,516.22
Texas,Tyler,"102,481",206,"2,002",0,201.01,0.02,1953.53
Florida,Lakeland,103498,168,2585,0,162.32,0.02,2497.63
California,Rialto,103590,254,946,0,245.2,0.01,913.22
California,Clovis,103769,131,1506,0,126.24,0.01,1451.3
Georgia,Sandy Springs,103898,51,1296,0,49.09,0.01,1247.38
California,El Cajon,103942,202,1273,0,194.34,0.01,1224.72
California,San Mateo,104306,109,1019,0,104.5,0.01,976.93
California,Santa Maria,104355,270,1371,0,258.73,0.01,1313.78
Texas,Lewisville,"104,741",91,"1,334",0,86.88,0.01,1273.62
Florida,West Palm Beach,104919,479,2671,0,456.54,0.03,2545.77
Wisconsin,Green Bay,"105,119",244,954,0,232.12,0.01,907.54
Texas,Wichita Falls,"105,186",245,"1,775",0,232.92,0.02,1687.49
Texas,College Station,"105,855",118,"1,081",0,111.47,0.01,1021.21
California,Burbank,105865,104,1358,0,98.24,0.01,1282.77
Oklahoma,Broken Arrow,"106,145",73,"1,016",0,68.77,0.01,957.18
Florida,Palm Bay,106469,251,783,0,235.75,0.01,735.43
Texas,Pearland,"106,850",92,961,0,86.1,0.01,899.39
California,Daly City,107320,131,783,0,122.06,0.01,729.59
California,Norwalk,107470,203,942,0,188.89,0.01,876.52
Washington,Everett,"107,633",258,"2,958",0,239.7,0.03,2748.23
Florida,Pompano Beach,107656,458,2586,0,425.43,0.02,2402.1
Colorado,Pueblo,108810,536,3439,0,492.6,0.03,3160.56
California,West Covina,109030,146,1442,0,133.91,0.01,1322.57
Connecticut,Waterbury,109044,267,2052,0,244.86,0.02,1881.81
South Carolina,North Charleston,"109,051",435,"2,961",0,398.9,0.03,2715.24
California,Murrieta,109495,53,812,0,48.4,0.01,741.59
North Carolina,High Point,109669,318,1896,0,289.96,0.02,1728.84
California,Richmond,109716,474,1805,0,432.02,0.02,1645.16
Montana,Billings,109997,270,2537,0,245.46,0.02,2306.43
California,Ventura,110077,183,1854,0,166.25,0.02,1684.28
California,Antioch,110537,396,1756,0,358.25,0.02,1588.61
New Hampshire,Manchester,110661,364,1565,0,328.93,0.01,1414.23
Massachusetts,Lowell,110819,220,969,0,198.52,0.01,874.4
Massachusetts,Cambridge,110953,162,1183,0,146.01,0.01,1066.22
Texas,Richardson,"111,008",91,"1,201",0,81.98,0.01,1081.9
Florida,Clearwater,111316,336,1821,0,301.84,0.02,1635.88
Illinois,Elgin,111832,124,651,0,110.88,0.01,582.12
California,Inglewood,112450,402,1219,0,357.49,0.01,1084.04
Minnesota,Rochester,112542,127,1186,0,112.85,0.01,1053.83
California,Fairfield,112582,275,1389,0,244.27,0.01,1233.77
Florida,Miami Gardens,113469,376,1820,0,331.37,0.02,1603.96
California,Costa Mesa,113477,199,2466,0,175.37,0.02,2173.13
Colorado,Westminster,113547,129,1920,0,113.61,0.02,1690.93
California,Carlsbad,113972,89,1137,0,78.09,0.01,997.61
